Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,Cumulative2P,Cumulative2PA,Cumulative3P,Cumulative3PA,CumulativeFT,CumulativeFTA,CumulativeORB,CumulativeAST,CumulativeTOV,CumulativeOWS,Last2OWS
Jarell Eddie,-0.021301381,0.025267779,-0.521413082,-0.915415511,-0.833450927,-0.704490277,-0.708803005,-0.598413371,-0.611623575,-0.62730276,-0.641978317,-0.660541301,-0.607585535,-0.754349035,-0.301106493,-0.632719642
Jarell Martin,-0.74022298,0.91513304,-0.521413082,-0.567567398,-0.584119,-0.520281293,-0.508008543,-0.539515044,-0.556799491,-0.473172365,-0.482025967,-0.340263652,-0.537870093,-0.549383985,-0.30639938,-0.687338554
Jarrett Allen,-1.698785113,0.91513304,-0.982236428,-0.793024508,-0.705381651,-0.559987116,-0.591320345,-0.632770729,-0.657310312,-0.531702895,-0.543429475,-0.402489024,-0.57387697,-0.629179539,-0.30639938,0.814681537
Jarrett Jack,1.895822884,-1.161219235,1.782703647,1.767524096,1.671596681,1.083573611,1.192723805,0.876498916,0.981929806,1.289572092,1.100820037,-0.159078011,2.416225968,1.938359751,-0.30639938,-0.523481817
Jason Smith,1.176901285,1.508376547,1.091468629,0.894683,0.17403436,0.251704063,0.285080767,-0.46098394,-0.464512282,-0.121013677,-0.135588886,0.505269341,-0.275096507,0.015443366,-0.316985156,-0.441553448
Jason Terry,3.333666083,-1.457840989,3.165173685,3.516427105,3.545408315,2.305992244,2.400419509,4.955208104,4.820529435,2.060224068,1.830081462,0.252707538,3.537035755,3.021075893,-0.322278043,-0.305006167
JaVale McGee,0.937260752,1.508376547,1.091468629,0.772291997,0.120837964,0.441771284,0.309813958,-0.642587117,-0.657310312,-0.021511776,0.174460929,1.149484955,-0.467388548,0.032654172,-0.322278043,0.350420781
Jawun Evans,-1.219504046,-2.051084496,-0.982236428,-0.870324089,-0.774809231,-0.660878963,-0.650875267,-0.608229759,-0.621674657,-0.605841566,-0.61772014,-0.649560353,-0.534805678,-0.68863505,-0.322278043,-1.096980397
Jaylen Brown,-1.219504046,0.025267779,-0.751824755,-0.548242503,-0.490501721,-0.449982458,-0.460169343,-0.235207017,-0.268059314,-0.413666326,-0.384235193,-0.462884238,-0.475049586,-0.457071482,-0.322278043,-0.277696711
Jaylen Morris,-0.979863513,-0.567975728,-0.982236428,-1.005598355,-0.846017005,-0.701886617,-0.708477568,-0.64013302,-0.661878985,-0.642910901,-0.654865473,-0.662371459,-0.606053327,-0.748090561,-0.327570931,-0.769266923
Jayson Tatum,-1.698785113,0.321889533,-0.982236428,-0.767257981,-0.600978488,-0.518979462,-0.522653195,-0.38736103,-0.449892527,-0.43512752,-0.459283926,-0.574523875,-0.513354773,-0.579111741,-0.327570931,0.978538274
Jeff Green,1.176901285,0.618511286,1.091468629,1.496975564,1.627824843,1.26452802,1.353814987,1.220072494,1.423263684,1.337372025,1.272143407,0.710247036,0.333955974,1.140404213,-0.332863818,0.131945132
